family,seed,base,closure_size,interior_size,seed_size,n_total,closure_indices,interior_indices,dataset,linkage,metric,noise,random_state,label_family,label_value,closure_purity,interior_purity
cluster_true,cluster_2,clusters,40,25,26,80,"0,3,6,9,13,17,18,19,20,22,23,24,26,29,37,38,40,43,46,47,49,50,51,53,55,56,57,60,62,63,65,66,68,70,71,72,74,75,77,78","0,3,9,17,18,22,24,26,37,38,43,49,51,53,57,60,62,65,66,68,70,71,74,77,78",Synthetic-blobs,single,euclidean,0.0,11,cluster_true,2,0.65,1.0
regime,regime_0,gen_base_1,58,36,40,80,"0,1,2,4,5,7,8,10,11,12,13,14,15,16,19,21,22,24,25,26,27,28,30,31,32,33,34,35,36,39,41,42,43,44,45,46,48,49,51,52,54,56,58,59,61,62,64,66,67,68,69,71,73,74,75,76,78,79","4,5,7,8,10,14,15,16,22,24,27,30,31,33,34,35,36,39,41,42,44,45,48,52,58,59,61,64,66,68,71,73,74,76,78,79",Synthetic-blobs,single,euclidean,0.0,11,regime,0,0.6896551724137931,1.0
regime,regime_0,gen_base_2,58,36,40,80,"0,1,2,4,5,7,8,10,11,12,13,14,15,16,19,21,22,24,25,26,27,28,30,31,32,33,34,35,36,39,41,42,43,44,45,46,48,49,51,52,54,56,58,59,61,62,64,66,67,68,69,71,73,74,75,76,78,79","4,5,7,8,10,14,15,16,22,24,27,30,31,33,34,35,36,39,41,42,44,45,48,52,58,59,61,64,66,68,71,73,74,76,78,79",Synthetic-blobs,single,euclidean,0.0,11,regime,0,0.6896551724137931,1.0
regime,regime_0,base,45,36,40,80,"1,2,4,5,7,8,10,11,12,14,15,16,22,24,25,27,30,31,32,33,34,35,36,39,41,42,44,45,48,52,54,58,59,61,64,66,67,68,69,71,73,74,76,78,79","4,5,7,8,10,14,15,16,22,24,27,30,31,33,34,35,36,39,41,42,44,45,48,52,58,59,61,64,66,68,71,73,74,76,78,79",Synthetic-blobs,single,euclidean,0.0,11,regime,0,0.8888888888888888,1.0
regime,regime_0,clusters,65,27,40,80,"0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,21,22,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,48,49,51,52,53,54,57,58,59,60,61,62,64,65,66,67,68,69,70,71,73,74,76,77,78,79","4,5,7,8,10,14,15,16,27,31,33,34,35,36,39,41,42,44,45,48,58,59,61,64,73,76,79",Synthetic-blobs,single,euclidean,0.0,11,regime,0,0.6153846153846154,1.0
regime,regime_1,gen_base_1,51,35,40,80,"0,1,2,3,6,9,11,12,13,17,18,19,20,21,22,23,24,25,26,28,29,30,32,37,38,40,43,46,47,49,50,51,53,54,55,56,57,60,62,63,65,66,67,68,69,70,71,72,75,77,78","0,3,6,9,13,17,18,19,20,21,23,26,28,29,37,38,40,43,46,47,49,50,51,53,55,56,57,60,62,63,65,70,72,75,77",Synthetic-blobs,single,euclidean,0.0,11,regime,1,0.7843137254901961,1.0
regime,regime_1,gen_base_2,52,35,40,80,"0,1,2,3,6,9,11,12,13,17,18,19,20,21,22,23,24,25,26,28,29,30,32,37,38,40,43,46,47,49,50,51,52,53,54,55,56,57,60,62,63,65,66,67,68,69,70,71,72,75,77,78","0,3,6,9,13,17,18,19,20,21,23,26,28,29,37,38,40,43,46,47,49,50,51,53,55,56,57,60,62,63,65,70,72,75,77",Synthetic-blobs,single,euclidean,0.0,11,regime,1,0.7692307692307693,1.0
regime,regime_1,base,44,35,40,80,"0,1,2,3,6,9,11,12,13,17,18,19,20,21,23,25,26,28,29,32,37,38,40,43,46,47,49,50,51,53,54,55,56,57,60,62,63,65,67,69,70,72,75,77","0,3,6,9,13,17,18,19,20,21,23,26,28,29,37,38,40,43,46,47,49,50,51,53,55,56,57,60,62,63,65,70,72,75,77",Synthetic-blobs,single,euclidean,0.0,11,regime,1,0.9090909090909091,1.0
regime,regime_1,clusters,53,15,40,80,"0,1,2,3,6,9,11,12,13,17,18,19,20,21,22,23,24,25,26,28,29,30,32,37,38,40,43,46,47,49,50,51,52,53,54,55,56,57,60,62,63,65,66,67,68,69,70,71,72,74,75,77,78","6,13,19,20,23,29,40,46,47,50,55,56,63,72,75",Synthetic-blobs,single,euclidean,0.0,11,regime,1,0.7547169811320755,1.0
cluster_true,cluster_0,gen_base_1,27,27,27,80,"4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72","4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,0,1.0,1.0
cluster_true,cluster_0,gen_base_2,27,27,27,80,"4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72","4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,0,1.0,1.0
cluster_true,cluster_0,base,27,27,27,80,"4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72","4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,0,1.0,1.0
cluster_true,cluster_0,clusters,27,27,27,80,"4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72","4,6,7,10,12,14,15,19,20,22,25,29,30,32,38,39,40,43,44,46,47,48,54,64,69,70,72",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,0,1.0,1.0
cluster_true,cluster_1,gen_base_1,27,27,27,80,"2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79","2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,1,1.0,1.0
cluster_true,cluster_1,gen_base_2,27,27,27,80,"2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79","2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,1,1.0,1.0
cluster_true,cluster_1,base,27,27,27,80,"2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79","2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,1,1.0,1.0
cluster_true,cluster_1,clusters,27,27,27,80,"2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79","2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,1,1.0,1.0
cluster_true,cluster_2,gen_base_1,26,26,26,80,"0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77","0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,2,1.0,1.0
cluster_true,cluster_2,gen_base_2,26,26,26,80,"0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77","0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,2,1.0,1.0
cluster_true,cluster_2,base,26,26,26,80,"0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77","0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,2,1.0,1.0
cluster_true,cluster_2,clusters,26,26,26,80,"0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77","0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77",Synthetic-blobs,single,euclidean,0.0,23,cluster_true,2,1.0,1.0
regime,regime_0,gen_base_1,50,34,40,80,"0,1,3,4,5,6,7,9,10,12,14,15,16,17,18,19,20,22,25,28,29,32,33,34,35,36,37,38,39,40,43,45,46,47,49,50,52,54,55,56,58,61,64,67,68,69,70,72,74,77","0,1,3,4,5,6,9,10,12,16,17,18,20,28,33,34,35,36,37,39,45,46,49,50,52,55,56,58,61,67,68,70,74,77",Synthetic-blobs,single,euclidean,0.0,23,regime,0,0.8,1.0
regime,regime_0,gen_base_2,50,36,40,80,"0,1,3,4,5,6,7,9,10,12,14,15,16,17,18,19,20,22,25,28,29,32,33,34,35,36,37,38,39,40,43,45,46,47,49,50,52,54,55,56,58,61,64,67,68,69,70,72,74,77","0,1,3,4,5,6,9,10,12,14,16,17,18,19,20,28,33,34,35,36,37,39,45,46,49,50,52,55,56,58,61,67,68,70,74,77",Synthetic-blobs,single,euclidean,0.0,23,regime,0,0.8,1.0
regime,regime_0,base,41,36,40,80,"0,1,3,4,5,6,9,10,12,14,15,16,17,18,19,20,28,29,32,33,34,35,36,37,39,43,45,46,49,50,52,55,56,58,61,67,68,70,72,74,77","0,1,3,4,5,6,9,10,12,14,16,17,18,19,20,28,33,34,35,36,37,39,45,46,49,50,52,55,56,58,61,67,68,70,74,77",Synthetic-blobs,single,euclidean,0.0,23,regime,0,0.975609756097561,1.0
regime,regime_0,clusters,53,26,40,80,"0,1,3,4,5,6,7,9,10,12,14,15,16,17,18,19,20,22,25,28,29,30,32,33,34,35,36,37,38,39,40,43,44,45,46,47,48,49,50,52,54,55,56,58,61,64,67,68,69,70,72,74,77","0,1,3,5,9,16,17,18,28,33,34,35,36,37,45,49,50,52,55,56,58,61,67,68,74,77",Synthetic-blobs,single,euclidean,0.0,23,regime,0,0.7547169811320755,1.0
regime,regime_1,gen_base_1,50,36,40,80,"2,4,6,7,8,11,13,14,15,19,20,21,22,23,24,25,26,27,29,30,31,32,38,40,41,42,43,44,47,48,51,53,54,57,59,60,62,63,64,65,66,69,70,71,72,73,75,76,78,79","2,7,8,11,13,21,23,24,25,26,27,30,31,40,41,42,44,47,48,51,53,57,59,60,62,63,64,65,66,69,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,regime,1,0.8,1.0
regime,regime_1,gen_base_2,50,39,40,80,"2,4,6,7,8,11,13,14,15,19,20,21,22,23,24,25,26,27,29,30,31,32,38,40,41,42,43,44,47,48,51,53,54,57,59,60,62,63,64,65,66,69,70,71,72,73,75,76,78,79","2,7,8,11,13,21,22,23,24,25,26,27,30,31,38,40,41,42,44,47,48,51,53,54,57,59,60,62,63,64,65,66,69,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,regime,1,0.8,1.0
regime,regime_1,base,44,39,40,80,"2,7,8,11,13,15,21,22,23,24,25,26,27,29,30,31,32,38,40,41,42,43,44,47,48,51,53,54,57,59,60,62,63,64,65,66,69,71,72,73,75,76,78,79","2,7,8,11,13,21,22,23,24,25,26,27,30,31,38,40,41,42,44,47,48,51,53,54,57,59,60,62,63,64,65,66,69,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,regime,1,0.9090909090909091,1.0
regime,regime_1,clusters,54,27,40,80,"2,4,6,7,8,10,11,12,13,14,15,19,20,21,22,23,24,25,26,27,29,30,31,32,38,39,40,41,42,43,44,46,47,48,51,53,54,57,59,60,62,63,64,65,66,69,70,71,72,73,75,76,78,79","2,8,11,13,21,23,24,26,27,31,41,42,51,53,57,59,60,62,63,65,66,71,73,75,76,78,79",Synthetic-blobs,single,euclidean,0.0,23,regime,1,0.7407407407407407,1.0
cluster_true,cluster_0,gen_base_1,27,27,27,80,"0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75","0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,0,1.0,1.0
cluster_true,cluster_0,gen_base_2,27,27,27,80,"0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75","0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,0,1.0,1.0
cluster_true,cluster_0,base,27,27,27,80,"0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75","0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,0,1.0,1.0
cluster_true,cluster_0,clusters,27,27,27,80,"0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75","0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,0,1.0,1.0
cluster_true,cluster_1,gen_base_1,27,27,27,80,"3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79","3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,1,1.0,1.0
cluster_true,cluster_1,gen_base_2,27,27,27,80,"3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79","3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,1,1.0,1.0
cluster_true,cluster_1,base,27,27,27,80,"3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79","3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,1,1.0,1.0
cluster_true,cluster_1,clusters,27,27,27,80,"3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79","3,4,5,6,9,11,13,22,23,25,26,32,35,37,41,43,46,52,55,57,58,62,65,71,76,77,79",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,1,1.0,1.0
cluster_true,cluster_2,gen_base_1,26,26,26,80,"1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78","1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,2,1.0,1.0
cluster_true,cluster_2,gen_base_2,26,26,26,80,"1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78","1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,2,1.0,1.0
cluster_true,cluster_2,base,26,26,26,80,"1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78","1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,2,1.0,1.0
cluster_true,cluster_2,clusters,26,26,26,80,"1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78","1,7,12,15,18,19,20,29,31,33,34,38,40,44,47,49,56,59,60,61,63,64,69,72,74,78",Synthetic-blobs,single,euclidean,0.0,37,cluster_true,2,1.0,1.0
regime,regime_0,gen_base_1,58,28,40,80,"0,1,2,3,4,6,8,10,11,12,14,16,17,18,19,21,24,27,28,30,31,32,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,57,58,60,61,62,66,67,68,69,70,71,72,73,75,76,78","0,2,8,10,14,16,17,21,24,27,28,30,36,37,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,regime,0,0.6896551724137931,1.0
regime,regime_0,gen_base_2,60,29,40,80,"0,1,2,3,4,5,6,8,9,10,11,14,16,17,18,19,21,22,24,27,28,30,31,32,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,54,55,57,58,60,61,62,65,66,67,68,69,70,71,73,75,76,77","0,2,8,10,14,16,17,21,24,27,28,30,36,37,39,42,45,48,50,51,53,54,57,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,regime,0,0.6666666666666666,1.0
regime,regime_0,base,46,34,40,80,"0,1,2,3,4,6,8,10,11,14,16,17,21,24,27,28,30,31,32,35,36,37,38,39,41,42,43,45,46,48,50,51,52,53,54,57,58,62,66,67,68,70,71,73,75,76","0,2,3,8,10,11,14,16,17,21,24,27,28,30,36,37,39,42,45,48,50,51,52,53,54,57,66,67,68,70,71,73,75,76",Synthetic-blobs,single,euclidean,0.0,37,regime,0,0.8695652173913043,1.0
regime,regime_0,clusters,80,27,40,80,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79","0,2,8,10,14,16,17,21,24,27,28,30,36,39,42,45,48,50,51,53,54,66,67,68,70,73,75",Synthetic-blobs,single,euclidean,0.0,37,regime,0,0.5,1.0
regime,regime_1,gen_base_1,52,31,40,80,"1,3,4,5,6,7,9,11,12,13,15,18,19,20,22,23,25,26,29,31,32,33,34,35,38,40,41,43,44,46,47,49,52,55,56,57,58,59,60,61,62,63,64,65,69,71,72,74,76,77,78,79","5,7,9,12,13,15,19,20,22,23,25,26,29,33,34,44,47,49,55,56,59,60,63,64,65,69,72,74,77,78,79",Synthetic-blobs,single,euclidean,0.0,37,regime,1,0.7692307692307693,1.0
regime,regime_1,gen_base_2,51,34,40,80,"1,3,4,5,6,7,9,11,12,13,15,18,19,20,22,23,25,26,29,31,32,33,34,35,38,40,41,43,44,46,47,49,52,55,56,58,59,60,61,62,63,64,65,69,71,72,74,76,77,78,79","5,7,9,12,13,15,18,19,20,22,23,25,26,29,33,34,40,44,47,49,55,56,59,60,61,63,64,65,69,72,74,77,78,79",Synthetic-blobs,single,euclidean,0.0,37,regime,1,0.7843137254901961,1.0
regime,regime_1,base,46,34,40,80,"1,4,5,6,7,9,12,13,15,18,19,20,22,23,25,26,29,31,32,33,34,35,38,40,41,43,44,46,47,49,55,56,58,59,60,61,62,63,64,65,69,72,74,77,78,79","5,7,9,12,13,15,18,19,20,22,23,25,26,29,33,34,40,44,47,49,55,56,59,60,61,63,64,65,69,72,74,77,78,79",Synthetic-blobs,single,euclidean,0.0,37,regime,1,0.8695652173913043,1.0
regime,regime_1,clusters,53,0,40,80,"1,3,4,5,6,7,9,11,12,13,15,18,19,20,22,23,25,26,29,31,32,33,34,35,37,38,40,41,43,44,46,47,49,52,55,56,57,58,59,60,61,62,63,64,65,69,71,72,74,76,77,78,79",,Synthetic-blobs,single,euclidean,0.0,37,regime,1,0.7547169811320755,
cluster_true,cluster_0,gen_base_1,27,27,27,80,"2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75","2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,0,1.0,1.0
cluster_true,cluster_0,gen_base_2,27,27,27,80,"2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75","2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,0,1.0,1.0
cluster_true,cluster_0,base,27,27,27,80,"2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75","2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,0,1.0,1.0
cluster_true,cluster_0,clusters,27,27,27,80,"2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75","2,5,10,12,16,17,20,21,26,29,30,31,32,34,38,39,40,42,46,47,52,57,60,66,68,72,75",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,0,1.0,1.0
cluster_true,cluster_1,gen_base_1,29,27,27,80,"0,6,7,8,9,15,18,19,22,23,24,27,35,41,44,50,51,53,54,55,61,63,67,70,71,73,74,77,78","0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,1,0.9310344827586207,1.0
cluster_true,cluster_1,gen_base_2,29,27,27,80,"0,6,7,8,9,15,18,19,22,23,24,27,35,41,44,50,51,53,54,55,61,63,67,70,71,73,74,77,78","0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,1,0.9310344827586207,1.0
cluster_true,cluster_1,base,27,27,27,80,"0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78","0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,1,1.0,1.0
cluster_true,cluster_1,clusters,27,27,27,80,"0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78","0,6,7,8,9,18,19,22,23,24,27,35,41,44,50,53,54,55,61,63,67,70,71,73,74,77,78",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,1,1.0,1.0
cluster_true,cluster_2,gen_base_1,28,26,26,80,"1,3,4,8,11,13,14,15,22,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79","1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,2,0.9285714285714286,1.0
cluster_true,cluster_2,gen_base_2,28,26,26,80,"1,3,4,8,11,13,14,15,22,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79","1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,2,0.9285714285714286,1.0
cluster_true,cluster_2,base,26,26,26,80,"1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79","1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,2,1.0,1.0
cluster_true,cluster_2,clusters,26,26,26,80,"1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79","1,3,4,11,13,14,15,25,28,33,36,37,43,45,48,49,51,56,58,59,62,64,65,69,76,79",Synthetic-blobs,single,euclidean,0.0,51,cluster_true,2,1.0,1.0
