dataset,family,seed,base,closure_size,interior_size,seed_size,n_total,expansion_ratio,retention_ratio,closure_prop
Gapminder,development,MedHigh,clusters,63.0,0.0,35.0,142.0,1.8,0.0,0.44366197183098594
Gapminder,development,MedHigh,gen_base_1,52.0,27.0,35.0,142.0,1.4857142857142858,0.7714285714285715,0.36619718309859156
Gapminder,development,MedHigh,gen_base_2,134.0,27.0,35.0,142.0,3.8285714285714287,0.7714285714285715,0.9436619718309859
Gapminder,development,MedLow,base,41.0,24.5,35.0,142.0,1.1714285714285715,0.7,0.2887323943661972
Gapminder,development,MedLow,clusters,108.0,0.0,35.0,142.0,3.085714285714286,0.0,0.7605633802816901
Gapminder,development,MedLow,gen_base_1,63.5,24.0,35.0,142.0,1.8142857142857143,0.6857142857142857,0.4471830985915493
Gapminder,development,MedLow,gen_base_2,134.0,24.5,35.0,142.0,3.8285714285714287,0.7,0.9436619718309859
Gapminder,income,High,base,37.0,33.0,36.0,142.0,1.0277777777777777,0.9166666666666666,0.2605633802816901
Gapminder,income,High,clusters,94.0,33.5,36.0,142.0,2.611111111111111,0.9305555555555556,0.6619718309859155
Gapminder,income,High,gen_base_1,37.0,33.0,36.0,142.0,1.0277777777777777,0.9166666666666666,0.2605633802816901
Gapminder,income,High,gen_base_2,122.0,33.0,36.0,142.0,3.388888888888889,0.9166666666666666,0.8591549295774648
Gapminder,income,Low,base,45.0,28.0,36.0,142.0,1.25,0.7777777777777778,0.31690140845070425
Gapminder,income,Low,clusters,106.0,0.0,36.0,142.0,2.9444444444444446,0.0,0.7464788732394366
Gapminder,income,Low,gen_base_1,52.0,27.0,36.0,142.0,1.4444444444444444,0.75,0.36619718309859156
Gapminder,income,Low,gen_base_2,121.0,28.0,36.0,142.0,3.361111111111111,0.7777777777777778,0.852112676056338
Gapminder,income,MedHigh,base,40.0,32.0,35.0,142.0,1.1428571428571428,0.9142857142857143,0.28169014084507044
Gapminder,income,MedHigh,clusters,106.5,0.0,35.0,142.0,3.0428571428571427,0.0,0.75
Gapminder,income,MedHigh,gen_base_1,54.0,30.5,35.0,142.0,1.542857142857143,0.8714285714285714,0.38028169014084506
Gapminder,income,MedHigh,gen_base_2,140.0,32.0,35.0,142.0,4.0,0.9142857142857143,0.9859154929577465
Gapminder,income,MedLow,base,47.0,24.0,35.0,142.0,1.3428571428571427,0.6857142857142857,0.33098591549295775
Gapminder,income,MedLow,clusters,108.0,2.0,35.0,142.0,3.085714285714286,0.05714285714285714,0.7605633802816901
Gapminder,income,MedLow,gen_base_1,85.0,22.0,35.0,142.0,2.4285714285714284,0.6285714285714286,0.5985915492957746
Gapminder,income,MedLow,gen_base_2,136.0,24.0,35.0,142.0,3.8857142857142857,0.6857142857142857,0.9577464788732394
